135.957,35.235,2012/07/01,00:10,0.0,22.4,0.1,-999.,0.7,22.5
135.957,35.235,2012/07/01,00:20,0.0,22.5,0.4,22.5,1.2,22.5
135.957,35.235,2012/07/01,00:30,0.0,22.3,0.4,22.5,0.9,0.0
135.957,35.235,2012/07/01,00:40,0.0,22.3,0.2,-999.,0.8,22.5
135.957,35.235,2012/07/01,00:50,0.0,22.2,0.2,-999.,0.8,22.5
135.957,35.235,2012/07/01,01:00,0.0,22.2,0.6,337.5,1.4,337.5
135.957,35.235,2012/07/01,01:10,0.0,22.2,0.4,337.5,1.2,315.0
135.957,35.235,2012/07/01,01:20,0.0,22.2,0.6,337.5,1.1,337.5
135.957,35.235,2012/07/01,01:30,0.0,22.3,0.4,315.0,1.2,315.0
135.957,35.235,2012/07/01,01:40,0.0,22.1,0.0,-999.,0.0,292.5
135.957,35.235,2012/07/01,01:50,0.0,22.1,0.5,337.5,1.1,0.0
135.957,35.235,2012/07/01,02:00,0.0,22.0,0.2,-999.,0.7,337.5
135.957,35.235,2012/07/01,02:10,0.0,22.1,0.2,-999.,0.7,292.5
135.957,35.235,2012/07/01,02:20,0.0,22.1,0.5,315.0,1.0,315.0
135.957,35.235,2012/07/01,02:30,0.0,22.1,0.6,292.5,1.2,270.0
135.957,35.235,2012/07/01,02:40,0.0,22.1,0.3,247.5,1.1,202.5
135.957,35.235,2012/07/01,02:50,0.0,22.2,1.1,247.5,2.3,292.5
135.957,35.235,2012/07/01,03:00,0.0,22.3,1.2,247.5,2.6,247.5
135.957,35.235,2012/07/01,03:10,0.0,22.5,1.3,247.5,4.5,225.0
135.957,35.235,2012/07/01,03:20,0.0,22.5,1.4,202.5,3.6,180.0
135.957,35.235,2012/07/01,03:30,0.5,22.3,0.6,247.5,2.6,225.0
135.957,35.235,2012/07/01,03:40,0.0,22.2,0.5,247.5,2.0,270.0
135.957,35.235,2012/07/01,03:50,0.0,22.1,1.5,270.0,2.7,270.0
135.957,35.235,2012/07/01,04:00,0.5,22.0,1.6,270.0,3.5,270.0
135.957,35.235,2012/07/01,04:10,0.0,21.9,0.9,247.5,2.3,270.0
135.957,35.235,2012/07/01,04:20,0.0,22.0,1.4,270.0,3.0,270.0
135.957,35.235,2012/07/01,04:30,0.0,22.0,1.1,247.5,2.5,270.0
135.957,35.235,2012/07/01,04:40,0.0,22.0,0.6,247.5,1.8,247.5
135.957,35.235,2012/07/01,04:50,0.0,22.0,0.7,247.5,2.4,247.5,0
135.957,35.235,2012/07/01,05:00,0.0,22.0,0.5,270.0,1.6,225.0,0
135.957,35.235,2012/07/01,05:10,0.0,22.0,0.6,247.5,2.0,270.0,0
135.957,35.235,2012/07/01,05:20,0.0,22.0,0.3,270.0,1.6,247.5,0
135.957,35.235,2012/07/01,05:30,0.0,22.1,0.3,225.0,1.0,225.0,0
135.957,35.235,2012/07/01,05:40,0.5,22.0,0.3,135.0,0.9,135.0,0
135.957,35.235,2012/07/01,05:50,0.0,22.0,0.3,225.0,1.4,292.5,0
135.957,35.235,2012/07/01,06:00,0.0,22.0,0.2,-999.,1.2,247.5,0
135.957,35.235,2012/07/01,06:10,0.0,22.1,0.8,270.0,2.4,225.0,0
135.957,35.235,2012/07/01,06:20,0.0,22.2,0.9,247.5,2.6,247.5,0
135.957,35.235,2012/07/01,06:30,0.0,22.4,1.0,247.5,2.5,225.0,0
135.957,35.235,2012/07/01,06:40,0.0,22.5,1.3,270.0,2.5,270.0,0
135.957,35.235,2012/07/01,06:50,0.0,22.5,1.4,270.0,3.2,247.5,0
135.957,35.235,2012/07/01,07:00,0.0,22.5,0.7,247.5,2.4,292.5,0
135.957,35.235,2012/07/01,07:10,0.5,22.4,0.5,247.5,1.7,270.0,0
135.957,35.235,2012/07/01,07:20,0.5,22.4,0.7,270.0,2.2,292.5,0
135.957,35.235,2012/07/01,07:30,0.0,22.5,0.9,247.5,2.6,247.5,0
135.957,35.235,2012/07/01,07:40,2.5,22.5,2.5,270.0,4.1,247.5,0
135.957,35.235,2012/07/01,07:50,3.5,22.3,2.3,270.0,4.1,247.5,0
135.957,35.235,2012/07/01,08:00,3.5,22.3,2.1,270.0,4.0,270.0,0
135.957,35.235,2012/07/01,08:10,1.0,22.5,1.8,270.0,3.3,270.0,0
135.957,35.235,2012/07/01,08:20,0.5,22.4,1.7,270.0,3.7,292.5,0
135.957,35.235,2012/07/01,08:30,1.5,22.5,2.4,270.0,4.1,270.0,0
135.957,35.235,2012/07/01,08:40,0.5,22.5,1.4,247.5,2.8,270.0,0
135.957,35.235,2012/07/01,08:50,2.5,22.4,2.0,270.0,3.5,270.0,0
135.957,35.235,2012/07/01,09:00,2.5,22.4,1.5,270.0,3.5,270.0,0
