136.343,35.3833,2012/07/01,00:10,0.0,21.1,3.1,157.5,5.6,135.0
136.343,35.3833,2012/07/01,00:20,0.0,21.1,3.2,135.0,4.8,157.5
136.343,35.3833,2012/07/01,00:30,0.0,21.1,3.8,135.0,5.6,135.0
136.343,35.3833,2012/07/01,00:40,0.0,21.0,3.5,135.0,5.4,135.0
136.343,35.3833,2012/07/01,00:50,0.0,21.0,3.6,135.0,5.3,135.0
136.343,35.3833,2012/07/01,01:00,0.0,21.0,4.0,157.5,6.0,135.0
136.343,35.3833,2012/07/01,01:10,0.0,21.0,3.3,157.5,5.1,180.0
136.343,35.3833,2012/07/01,01:20,0.0,21.1,3.7,157.5,6.6,157.5
136.343,35.3833,2012/07/01,01:30,0.0,21.1,4.7,157.5,7.6,157.5
136.343,35.3833,2012/07/01,01:40,0.0,21.1,4.6,157.5,7.2,157.5
136.343,35.3833,2012/07/01,01:50,0.0,21.1,4.2,157.5,7.3,157.5
136.343,35.3833,2012/07/01,02:00,0.0,21.1,4.1,135.0,6.8,135.0
136.343,35.3833,2012/07/01,02:10,0.0,21.2,4.1,135.0,6.9,135.0
136.343,35.3833,2012/07/01,02:20,0.0,21.1,4.0,157.5,6.8,157.5
136.343,35.3833,2012/07/01,02:30,0.0,21.1,3.4,157.5,6.0,157.5
136.343,35.3833,2012/07/01,02:40,0.0,21.1,4.1,157.5,7.1,157.5
136.343,35.3833,2012/07/01,02:50,0.0,21.0,4.1,157.5,6.7,157.5
136.343,35.3833,2012/07/01,03:00,0.0,21.0,4.0,157.5,6.2,135.0
136.343,35.3833,2012/07/01,03:10,0.0,21.1,3.8,157.5,5.9,157.5
136.343,35.3833,2012/07/01,03:20,0.0,21.2,4.0,157.5,6.6,180.0
136.343,35.3833,2012/07/01,03:30,0.0,21.0,3.7,157.5,6.2,135.0
136.343,35.3833,2012/07/01,03:40,0.0,21.0,3.4,157.5,7.6,157.5
136.343,35.3833,2012/07/01,03:50,0.0,21.1,4.0,157.5,6.4,135.0
136.343,35.3833,2012/07/01,04:00,0.0,21.0,3.8,157.5,7.0,157.5
136.343,35.3833,2012/07/01,04:10,0.5,20.9,3.4,157.5,5.4,135.0
136.343,35.3833,2012/07/01,04:20,0.0,21.0,3.6,157.5,5.6,157.5
136.343,35.3833,2012/07/01,04:30,0.0,21.0,3.4,135.0,6.5,112.5
136.343,35.3833,2012/07/01,04:40,0.0,21.1,3.9,135.0,6.3,112.5
136.343,35.3833,2012/07/01,04:50,0.0,21.2,4.6,135.0,7.2,157.5,0
136.343,35.3833,2012/07/01,05:00,0.0,21.2,3.9,157.5,5.9,157.5,0
136.343,35.3833,2012/07/01,05:10,0.0,21.4,3.5,157.5,5.8,135.0,0
136.343,35.3833,2012/07/01,05:20,0.0,21.4,3.8,157.5,7.9,135.0,0
136.343,35.3833,2012/07/01,05:30,0.0,21.2,3.7,157.5,6.3,135.0,0
136.343,35.3833,2012/07/01,05:40,1.5,21.0,4.2,157.5,6.7,135.0,0
136.343,35.3833,2012/07/01,05:50,0.5,21.0,3.3,157.5,5.6,135.0,0
136.343,35.3833,2012/07/01,06:00,0.0,21.0,3.1,180.0,6.0,135.0,0
136.343,35.3833,2012/07/01,06:10,0.0,21.0,3.4,157.5,5.7,135.0,0
136.343,35.3833,2012/07/01,06:20,0.0,21.2,4.1,157.5,7.5,135.0,0
136.343,35.3833,2012/07/01,06:30,0.0,21.2,4.2,157.5,7.2,135.0,0
136.343,35.3833,2012/07/01,06:40,0.0,21.5,5.0,157.5,8.9,157.5,0
136.343,35.3833,2012/07/01,06:50,0.0,21.6,4.8,157.5,7.9,135.0,0
136.343,35.3833,2012/07/01,07:00,0.0,21.5,4.9,135.0,8.2,135.0,0
136.343,35.3833,2012/07/01,07:10,0.0,21.5,4.9,135.0,8.1,135.0,0
136.343,35.3833,2012/07/01,07:20,0.0,21.4,4.6,135.0,7.4,157.5,0
136.343,35.3833,2012/07/01,07:30,0.0,21.4,5.1,135.0,8.6,135.0,0
136.343,35.3833,2012/07/01,07:40,0.5,21.3,4.1,135.0,6.5,112.5,0
136.343,35.3833,2012/07/01,07:50,0.0,21.3,3.9,157.5,5.9,135.0,0
136.343,35.3833,2012/07/01,08:00,0.5,21.4,4.4,157.5,7.5,112.5,0
136.343,35.3833,2012/07/01,08:10,0.0,21.4,4.1,135.0,7.9,135.0,0
136.343,35.3833,2012/07/01,08:20,0.5,21.3,4.9,157.5,8.4,135.0,0
136.343,35.3833,2012/07/01,08:30,0.0,21.4,4.0,157.5,6.7,157.5,0
136.343,35.3833,2012/07/01,08:40,0.5,21.5,4.6,157.5,7.2,112.5,0
136.343,35.3833,2012/07/01,08:50,0.5,21.6,3.8,135.0,6.7,135.0,0
136.343,35.3833,2012/07/01,09:00,0.0,21.6,4.2,135.0,7.3,112.5,0
