136.343,35.3833,2012/08/14,00:10,0.0,23.3,0.5,247.5,1.1,270.0
136.343,35.3833,2012/08/14,00:20,0.0,23.4,0.6,270.0,1.2,270.0
136.343,35.3833,2012/08/14,00:30,0.0,23.2,0.3,292.5,1.0,270.0
136.343,35.3833,2012/08/14,00:40,0.0,23.1,0.5,292.5,1.3,292.5
136.343,35.3833,2012/08/14,00:50,0.0,23.1,0.8,225.0,1.9,157.5
136.343,35.3833,2012/08/14,01:00,0.0,23.2,0.2,-999.,1.3,180.0
136.343,35.3833,2012/08/14,01:10,0.0,23.3,0.3,337.5,1.1,247.5
136.343,35.3833,2012/08/14,01:20,0.0,23.2,0.7,270.0,1.3,225.0
136.343,35.3833,2012/08/14,01:30,0.0,23.3,0.7,202.5,1.4,202.5
136.343,35.3833,2012/08/14,01:40,0.5,23.2,1.0,202.5,1.8,225.0
136.343,35.3833,2012/08/14,01:50,0.0,23.2,1.4,180.0,1.8,180.0
136.343,35.3833,2012/08/14,02:00,0.5,23.2,0.4,180.0,1.2,180.0
136.343,35.3833,2012/08/14,02:10,0.5,23.3,0.1,-999.,0.7,157.5
136.343,35.3833,2012/08/14,02:20,1.0,23.4,0.0,-999.,0.5,315.0
136.343,35.3833,2012/08/14,02:30,0.5,23.2,0.1,-999.,0.5,270.0
136.343,35.3833,2012/08/14,02:40,0.0,23.3,0.3,270.0,0.7,292.5
136.343,35.3833,2012/08/14,02:50,0.5,23.1,0.6,247.5,1.6,247.5
136.343,35.3833,2012/08/14,03:00,0.0,23.1,0.7,247.5,1.5,225.0
136.343,35.3833,2012/08/14,03:10,0.0,23.2,0.1,-999.,0.5,225.0
136.343,35.3833,2012/08/14,03:20,0.0,23.2,0.1,-999.,1.0,135.0
136.343,35.3833,2012/08/14,03:30,0.0,23.1,0.6,202.5,1.1,180.0
136.343,35.3833,2012/08/14,03:40,0.0,23.2,0.5,202.5,1.5,202.5
136.343,35.3833,2012/08/14,03:50,0.0,23.3,0.4,225.0,1.3,202.5
136.343,35.3833,2012/08/14,04:00,0.0,23.2,0.3,225.0,1.2,247.5
136.343,35.3833,2012/08/14,04:10,0.0,23.3,0.5,225.0,1.2,225.0
136.343,35.3833,2012/08/14,04:20,0.0,23.2,0.4,202.5,1.1,180.0
136.343,35.3833,2012/08/14,04:30,0.0,23.2,1.1,202.5,2.2,202.5
136.343,35.3833,2012/08/14,04:40,0.0,23.2,0.7,180.0,1.8,202.5
136.343,35.3833,2012/08/14,04:50,0.0,23.4,0.8,225.0,1.8,292.5
136.343,35.3833,2012/08/14,05:00,4.5,23.2,0.7,292.5,2.1,315.0
136.343,35.3833,2012/08/14,05:10,4.5,23.2,0.6,157.5,2.3,180.0
136.343,35.3833,2012/08/14,05:20,0.5,23.2,0.2,-999.,1.2,90.0,0
136.343,35.3833,2012/08/14,05:30,0.0,23.3,0.9,67.5,3.6,0.0,0
136.343,35.3833,2012/08/14,05:40,1.5,23.2,2.0,337.5,4.3,315.0,0
136.343,35.3833,2012/08/14,05:50,4.0,22.9,3.3,0.0,6.7,0.0,0
136.343,35.3833,2012/08/14,06:00,9.0,22.7,1.0,45.0,1.9,22.5,0
136.343,35.3833,2012/08/14,06:10,6.5,22.6,1.9,180.0,2.8,202.5,0
136.343,35.3833,2012/08/14,06:20,10.5,22.6,1.8,112.5,2.9,135.0,0
136.343,35.3833,2012/08/14,06:30,8.0,22.5,1.6,112.5,3.4,90.0,0
136.343,35.3833,2012/08/14,06:40,4.0,22.5,1.9,112.5,3.3,135.0,0
136.343,35.3833,2012/08/14,06:50,1.0,22.4,1.7,135.0,3.3,135.0,0
136.343,35.3833,2012/08/14,07:00,1.0,22.5,1.6,157.5,2.7,135.0,0
136.343,35.3833,2012/08/14,07:10,1.0,22.5,1.0,135.0,2.5,157.5,0
136.343,35.3833,2012/08/14,07:20,1.0,22.5,1.9,135.0,3.5,135.0,0
136.343,35.3833,2012/08/14,07:30,0.5,22.5,1.7,135.0,2.5,157.5,0
136.343,35.3833,2012/08/14,07:40,0.5,22.5,1.3,135.0,2.2,112.5,0
136.343,35.3833,2012/08/14,07:50,1.5,22.5,1.4,135.0,1.9,112.5,0
136.343,35.3833,2012/08/14,08:00,1.0,22.6,1.7,157.5,3.0,135.0,0
136.343,35.3833,2012/08/14,08:10,0.0,22.6,2.1,157.5,3.4,135.0,0
136.343,35.3833,2012/08/14,08:20,1.0,22.7,1.6,157.5,3.5,112.5,0
136.343,35.3833,2012/08/14,08:30,2.0,22.7,1.2,157.5,2.4,180.0,0
136.343,35.3833,2012/08/14,08:40,0.5,22.7,1.0,225.0,1.9,202.5,0
136.343,35.3833,2012/08/14,08:50,0.0,22.8,0.6,225.0,1.2,157.5,0
136.343,35.3833,2012/08/14,09:00,0.5,22.9,0.8,225.0,1.7,202.5,0
136.343,35.3833,2012/08/14,09:10,0.0,23.1,1.4,225.0,2.3,202.5,0
136.343,35.3833,2012/08/14,09:20,0.0,23.2,0.7,180.0,1.5,180.0,0
136.343,35.3833,2012/08/14,09:30,0.5,23.3,0.5,202.5,1.2,180.0,0
136.343,35.3833,2012/08/14,09:40,0.0,23.6,0.9,202.5,1.5,225.0,0
136.343,35.3833,2012/08/14,09:50,0.0,23.8,0.9,180.0,1.7,180.0,0
136.343,35.3833,2012/08/14,10:00,0.0,24.0,1.1,180.0,1.9,202.5,1
