135.485,34.555,2012/08/14,00:10,0.0,26.2,0.3,90.0,1.0,112.5
135.485,34.555,2012/08/14,00:20,0.0,26.2,0.3,67.5,0.8,22.5
135.485,34.555,2012/08/14,00:30,0.0,26.3,0.4,45.0,1.0,22.5
135.485,34.555,2012/08/14,00:40,0.0,26.2,0.2,-999.,1.1,0.0
135.485,34.555,2012/08/14,00:50,0.0,26.7,0.7,90.0,1.9,90.0
135.485,34.555,2012/08/14,01:00,0.0,26.9,1.1,90.0,1.9,90.0
135.485,34.555,2012/08/14,01:10,0.0,26.9,1.1,112.5,2.0,112.5
135.485,34.555,2012/08/14,01:20,0.0,26.7,0.8,135.0,2.0,135.0
135.485,34.555,2012/08/14,01:30,0.0,26.7,1.1,112.5,1.9,67.5
135.485,34.555,2012/08/14,01:40,0.0,26.7,1.1,135.0,1.6,157.5
135.485,34.555,2012/08/14,01:50,0.0,26.6,0.9,112.5,1.9,135.0
135.485,34.555,2012/08/14,02:00,0.0,26.6,0.9,112.5,1.6,112.5
135.485,34.555,2012/08/14,02:10,0.0,26.2,0.6,112.5,1.2,112.5
135.485,34.555,2012/08/14,02:20,0.0,26.0,0.5,90.0,1.1,90.0
135.485,34.555,2012/08/14,02:30,0.0,25.8,0.3,45.0,0.9,67.5
135.485,34.555,2012/08/14,02:40,0.0,26.0,0.6,112.5,1.1,90.0
135.485,34.555,2012/08/14,02:50,0.0,26.0,0.6,90.0,1.3,67.5
135.485,34.555,2012/08/14,03:00,0.0,25.9,0.1,-999.,0.9,112.5
135.485,34.555,2012/08/14,03:10,0.0,25.8,0.1,-999.,0.7,202.5
135.485,34.555,2012/08/14,03:20,0.0,25.7,0.2,-999.,1.0,0.0
135.485,34.555,2012/08/14,03:30,0.0,25.7,0.5,0.0,1.1,22.5
135.485,34.555,2012/08/14,03:40,0.0,25.9,0.8,0.0,1.2,22.5
135.485,34.555,2012/08/14,03:50,0.0,25.9,0.2,-999.,0.9,45.0
135.485,34.555,2012/08/14,04:00,0.0,26.2,0.3,67.5,1.0,67.5
135.485,34.555,2012/08/14,04:10,0.0,26.3,0.2,-999.,1.2,180.0
135.485,34.555,2012/08/14,04:20,0.0,26.8,0.8,202.5,1.8,225.0
135.485,34.555,2012/08/14,04:30,0.0,27.2,0.8,202.5,1.6,202.5
135.485,34.555,2012/08/14,04:40,0.0,27.5,1.1,202.5,2.7,225.0
135.485,34.555,2012/08/14,04:50,0.0,27.7,1.4,225.0,3.3,247.5
135.485,34.555,2012/08/14,05:00,0.0,27.7,1.5,225.0,3.0,202.5
135.485,34.555,2012/08/14,05:10,0.0,27.7,1.7,225.0,3.4,225.0
135.485,34.555,2012/08/14,05:20,0.0,27.6,1.5,225.0,3.5,225.0,0
135.485,34.555,2012/08/14,05:30,0.0,27.9,1.6,225.0,3.6,225.0,0
135.485,34.555,2012/08/14,05:40,0.0,28.0,1.8,202.5,4.9,157.5,0
135.485,34.555,2012/08/14,05:50,0.5,27.8,2.5,180.0,5.2,180.0,0
135.485,34.555,2012/08/14,06:00,0.0,27.5,2.8,202.5,7.5,225.0,0
135.485,34.555,2012/08/14,06:10,0.0,27.6,3.7,225.0,10.1,247.5,0
135.485,34.555,2012/08/14,06:20,0.0,27.2,4.0,225.0,9.8,225.0,0
135.485,34.555,2012/08/14,06:30,1.0,26.6,3.6,225.0,8.4,202.5,0
135.485,34.555,2012/08/14,06:40,1.0,25.7,2.6,270.0,7.0,225.0,0
135.485,34.555,2012/08/14,06:50,0.0,25.5,2.2,247.5,5.3,270.0,0
135.485,34.555,2012/08/14,07:00,0.5,25.2,2.5,270.0,5.8,292.5,0
135.485,34.555,2012/08/14,07:10,1.0,25.2,1.5,270.0,3.6,270.0,0
135.485,34.555,2012/08/14,07:20,0.5,25.2,1.0,292.5,2.4,247.5,0
135.485,34.555,2012/08/14,07:30,0.5,25.1,0.4,247.5,1.6,292.5,0
135.485,34.555,2012/08/14,07:40,0.5,25.2,0.7,225.0,1.1,225.0,0
135.485,34.555,2012/08/14,07:50,0.5,25.2,1.2,225.0,2.0,202.5,0
135.485,34.555,2012/08/14,08:00,0.0,25.3,1.0,202.5,1.9,157.5,0
135.485,34.555,2012/08/14,08:10,0.0,25.3,1.4,202.5,2.5,202.5,0
135.485,34.555,2012/08/14,08:20,0.0,25.3,1.3,202.5,2.8,225.0,0
135.485,34.555,2012/08/14,08:30,0.0,25.3,1.3,180.0,2.4,180.0,0
135.485,34.555,2012/08/14,08:40,0.0,25.6,1.0,157.5,2.1,157.5,0
135.485,34.555,2012/08/14,08:50,0.0,25.7,0.5,135.0,1.2,112.5,0
135.485,34.555,2012/08/14,09:00,0.0,25.8,0.5,112.5,1.3,90.0,0
135.485,34.555,2012/08/14,09:10,0.0,26.0,0.6,112.5,1.5,135.0,0
135.485,34.555,2012/08/14,09:20,0.0,26.0,0.9,22.5,2.0,0.0,0
135.485,34.555,2012/08/14,09:30,0.0,26.5,1.1,22.5,2.7,90.0,0
135.485,34.555,2012/08/14,09:40,0.0,26.6,1.0,0.0,2.7,0.0,0
135.485,34.555,2012/08/14,09:50,0.0,26.7,1.0,45.0,1.9,0.0,0
135.485,34.555,2012/08/14,10:00,0.0,26.8,0.9,22.5,2.1,45.0,0
