135.672,34.8083,2012/08/14,00:10,0.0,25.1,2.2,67.5,5.7,90.0
135.672,34.8083,2012/08/14,00:20,0.0,25.3,2.3,112.5,4.3,112.5
135.672,34.8083,2012/08/14,00:30,0.5,25.4,2.8,112.5,5.0,112.5
135.672,34.8083,2012/08/14,00:40,1.0,25.3,1.6,67.5,3.1,90.0
135.672,34.8083,2012/08/14,00:50,0.0,25.5,1.6,0.0,2.9,0.0
135.672,34.8083,2012/08/14,01:00,0.0,25.4,0.9,90.0,1.8,90.0
135.672,34.8083,2012/08/14,01:10,0.0,25.5,1.2,157.5,3.0,157.5
135.672,34.8083,2012/08/14,01:20,0.0,25.6,1.4,202.5,3.0,157.5
135.672,34.8083,2012/08/14,01:30,0.0,25.4,1.2,0.0,4.7,337.5
135.672,34.8083,2012/08/14,01:40,0.0,25.5,0.7,180.0,2.2,180.0
135.672,34.8083,2012/08/14,01:50,0.0,25.5,0.3,202.5,1.6,180.0
135.672,34.8083,2012/08/14,02:00,0.0,25.7,0.5,180.0,2.0,202.5
135.672,34.8083,2012/08/14,02:10,0.5,25.7,1.8,45.0,3.2,22.5
135.672,34.8083,2012/08/14,02:20,0.0,25.6,1.6,22.5,2.4,45.0
135.672,34.8083,2012/08/14,02:30,0.0,25.5,2.1,0.0,4.5,22.5
135.672,34.8083,2012/08/14,02:40,0.0,25.4,2.1,67.5,3.6,67.5
135.672,34.8083,2012/08/14,02:50,10.5,25.3,2.4,22.5,5.6,22.5
135.672,34.8083,2012/08/14,03:00,0.0,25.3,3.2,45.0,6.2,22.5
135.672,34.8083,2012/08/14,03:10,0.5,25.3,1.4,337.5,2.9,0.0
135.672,34.8083,2012/08/14,03:20,0.0,25.4,2.0,22.5,3.3,0.0
135.672,34.8083,2012/08/14,03:30,1.0,25.2,1.1,135.0,2.8,315.0
135.672,34.8083,2012/08/14,03:40,0.5,25.1,1.3,67.5,1.9,45.0
135.672,34.8083,2012/08/14,03:50,0.0,25.0,1.3,135.0,2.6,112.5
135.672,34.8083,2012/08/14,04:00,0.0,24.9,1.1,112.5,2.2,90.0
135.672,34.8083,2012/08/14,04:10,0.0,25.2,0.5,135.0,1.6,90.0
135.672,34.8083,2012/08/14,04:20,0.5,25.2,1.0,112.5,1.8,135.0
135.672,34.8083,2012/08/14,04:30,0.0,25.4,1.0,67.5,1.9,90.0
135.672,34.8083,2012/08/14,04:40,0.0,25.4,1.7,22.5,4.1,22.5
135.672,34.8083,2012/08/14,04:50,0.0,25.2,3.1,22.5,4.7,22.5
135.672,34.8083,2012/08/14,05:00,0.0,25.0,3.8,45.0,7.4,67.5
135.672,34.8083,2012/08/14,05:10,0.0,25.2,4.5,67.5,7.5,45.0
135.672,34.8083,2012/08/14,05:20,0.5,25.1,3.9,22.5,6.3,67.5,0
135.672,34.8083,2012/08/14,05:30,21.0,24.5,3.8,0.0,7.0,315.0,0
135.672,34.8083,2012/08/14,05:40,18.5,24.0,4.2,0.0,9.0,337.5,0
135.672,34.8083,2012/08/14,05:50,12.0,23.8,1.8,247.5,6.1,270.0,0
135.672,34.8083,2012/08/14,06:00,13.0,23.2,2.0,247.5,5.6,247.5,0
135.672,34.8083,2012/08/14,06:10,17.0,23.1,2.6,225.0,6.9,202.5,0
135.672,34.8083,2012/08/14,06:20,9.5,23.1,2.7,180.0,6.1,180.0,0
135.672,34.8083,2012/08/14,06:30,3.5,23.7,2.5,202.5,6.0,202.5,0
135.672,34.8083,2012/08/14,06:40,9.5,24.3,3.2,202.5,7.1,180.0,0
135.672,34.8083,2012/08/14,06:50,2.5,24.1,2.9,157.5,5.4,157.5,0
135.672,34.8083,2012/08/14,07:00,1.0,24.1,1.8,135.0,4.3,135.0,0
135.672,34.8083,2012/08/14,07:10,0.5,24.1,0.8,180.0,1.8,202.5,0
135.672,34.8083,2012/08/14,07:20,0.5,24.1,1.3,202.5,2.9,202.5,0
135.672,34.8083,2012/08/14,07:30,0.0,24.3,0.6,225.0,1.9,225.0,0
135.672,34.8083,2012/08/14,07:40,0.5,24.4,0.1,-999.,0.9,315.0,0
135.672,34.8083,2012/08/14,07:50,0.0,24.5,0.4,270.0,1.1,225.0,0
135.672,34.8083,2012/08/14,08:00,0.0,24.6,0.6,315.0,1.3,337.5,0
135.672,34.8083,2012/08/14,08:10,0.0,24.8,0.3,292.5,1.1,292.5,0
135.672,34.8083,2012/08/14,08:20,0.0,24.7,0.5,270.0,1.2,247.5,0
135.672,34.8083,2012/08/14,08:30,0.0,24.9,0.9,180.0,2.0,180.0,0
135.672,34.8083,2012/08/14,08:40,0.0,25.0,1.2,135.0,2.1,135.0,0
135.672,34.8083,2012/08/14,08:50,0.0,25.1,0.8,112.5,1.8,112.5,0
135.672,34.8083,2012/08/14,09:00,0.0,25.0,1.1,157.5,2.6,135.0,0
135.672,34.8083,2012/08/14,09:10,0.0,24.7,2.1,180.0,4.6,135.0,0
135.672,34.8083,2012/08/14,09:20,0.0,24.6,1.6,180.0,3.2,157.5,0
135.672,34.8083,2012/08/14,09:30,0.0,24.7,1.1,180.0,2.3,202.5,0
135.672,34.8083,2012/08/14,09:40,0.0,24.8,1.6,180.0,3.3,157.5,0
135.672,34.8083,2012/08/14,09:50,0.5,24.8,0.9,180.0,2.5,157.5,0
135.672,34.8083,2012/08/14,10:00,0.0,25.2,1.3,157.5,2.3,135.0,0
135.672,34.8083,2012/08/14,10:10,0.0,25.8,1.0,157.5,2.0,157.5,0
135.672,34.8083,2012/08/14,10:20,0.0,25.6,1.0,180.0,1.9,157.5,0
135.672,34.8083,2012/08/14,10:30,0.0,25.6,0.4,247.5,1.0,247.5,0
135.672,34.8083,2012/08/14,10:40,0.0,25.9,0.0,-999.,0.4,90.0,0
135.672,34.8083,2012/08/14,10:50,0.0,26.1,0.2,-999.,1.0,225.0,0
135.672,34.8083,2012/08/14,11:00,0.0,27.1,0.2,-999.,1.2,225.0,0
135.672,34.8083,2012/08/14,11:10,0.0,27.0,0.6,225.0,1.5,270.0,0
135.672,34.8083,2012/08/14,11:20,0.0,27.3,0.7,270.0,1.6,247.5,0
135.672,34.8083,2012/08/14,11:30,0.0,27.2,0.8,337.5,1.7,337.5,0
135.672,34.8083,2012/08/14,11:40,0.0,27.4,0.5,292.5,1.8,292.5,0
135.672,34.8083,2012/08/14,11:50,0.0,27.7,0.8,337.5,2.5,22.5,0
135.672,34.8083,2012/08/14,12:00,0.0,28.2,0.9,22.5,2.5,0.0,0
135.672,34.8083,2012/08/14,12:10,0.0,28.3,0.6,45.0,1.7,22.5,0
135.672,34.8083,2012/08/14,12:20,0.0,28.0,0.8,315.0,2.3,292.5,0
135.672,34.8083,2012/08/14,12:30,0.0,27.6,1.1,315.0,2.8,315.0,0
135.672,34.8083,2012/08/14,12:40,0.0,27.2,1.1,315.0,2.7,315.0,0
135.672,34.8083,2012/08/14,12:50,0.0,27.1,1.1,292.5,2.4,315.0,0
135.672,34.8083,2012/08/14,13:00,0.0,27.6,0.1,-999.,1.0,0.0,1
135.672,34.8083,2012/08/14,13:10,0.0,27.9,0.6,225.0,2.5,270.0,0
135.672,34.8083,2012/08/14,13:20,0.0,28.4,1.2,202.5,3.2,202.5,0
135.672,34.8083,2012/08/14,13:30,0.0,28.4,1.5,202.5,3.4,180.0,0
135.672,34.8083,2012/08/14,13:40,0.0,28.2,1.2,202.5,2.5,157.5,0
135.672,34.8083,2012/08/14,13:50,0.0,28.5,1.4,157.5,2.5,180.0,0
135.672,34.8083,2012/08/14,14:00,0.0,28.6,1.2,180.0,3.2,202.5,0
135.672,34.8083,2012/08/14,14:10,0.0,28.5,1.4,180.0,2.9,157.5,0
135.672,34.8083,2012/08/14,14:20,0.0,28.7,1.4,157.5,2.6,135.0,0
135.672,34.8083,2012/08/14,14:30,0.0,28.9,0.7,202.5,1.8,112.5,0
135.672,34.8083,2012/08/14,14:40,0.0,28.7,1.4,225.0,2.9,202.5,0
135.672,34.8083,2012/08/14,14:50,0.0,28.9,1.5,157.5,2.6,135.0,0
135.672,34.8083,2012/08/14,15:00,0.0,29.0,1.0,225.0,2.0,180.0,0
135.672,34.8083,2012/08/14,15:10,0.0,28.6,1.6,225.0,4.2,202.5,0
135.672,34.8083,2012/08/14,15:20,0.0,28.2,2.6,180.0,3.9,202.5,0
135.672,34.8083,2012/08/14,15:30,0.0,28.2,2.1,157.5,3.6,157.5,0
135.672,34.8083,2012/08/14,15:40,0.0,28.5,1.8,135.0,3.1,135.0,0
135.672,34.8083,2012/08/14,15:50,0.0,28.6,1.4,157.5,2.6,157.5,0
135.672,34.8083,2012/08/14,16:00,0.0,28.7,1.2,157.5,2.2,157.5,0
135.672,34.8083,2012/08/14,16:10,0.0,28.7,1.4,135.0,2.1,180.0,0
135.672,34.8083,2012/08/14,16:20,0.0,28.6,1.6,135.0,2.5,112.5,0
135.672,34.8083,2012/08/14,16:30,0.0,28.6,1.6,157.5,2.7,135.0,0
135.672,34.8083,2012/08/14,16:40,0.0,28.8,1.3,157.5,2.1,135.0,0
135.672,34.8083,2012/08/14,16:50,0.0,28.7,1.0,202.5,1.9,202.5,0
135.672,34.8083,2012/08/14,17:00,0.0,28.5,0.8,202.5,1.7,180.0,0
135.672,34.8083,2012/08/14,17:10,0.0,28.7,1.6,247.5,3.7,247.5,0
135.672,34.8083,2012/08/14,17:20,0.0,28.7,2.3,247.5,4.8,247.5,0
135.672,34.8083,2012/08/14,17:30,0.0,28.6,1.2,247.5,4.3,270.0,0
135.672,34.8083,2012/08/14,17:40,0.0,28.5,1.6,247.5,4.0,270.0,0
135.672,34.8083,2012/08/14,17:50,0.0,28.4,1.5,247.5,3.8,270.0,0
135.672,34.8083,2012/08/14,18:00,0.0,28.3,1.9,247.5,5.1,270.0,0
135.672,34.8083,2012/08/14,18:10,0.0,28.1,1.8,247.5,3.8,270.0,0
135.672,34.8083,2012/08/14,18:20,0.0,28.2,2.4,247.5,4.6,270.0,0
135.672,34.8083,2012/08/14,18:30,0.0,28.0,1.5,247.5,4.0,247.5,0
135.672,34.8083,2012/08/14,18:40,0.0,27.8,1.1,247.5,3.1,270.0,0
135.672,34.8083,2012/08/14,18:50,0.0,27.7,1.2,247.5,3.1,247.5,0
135.672,34.8083,2012/08/14,19:00,0.0,27.8,0.6,247.5,1.9,270.0
135.672,34.8083,2012/08/14,19:10,0.0,27.7,0.9,225.0,2.2,225.0
135.672,34.8083,2012/08/14,19:20,0.0,27.6,0.5,225.0,1.5,225.0
135.672,34.8083,2012/08/14,19:30,0.0,27.5,0.5,225.0,1.6,202.5
135.672,34.8083,2012/08/14,19:40,0.0,27.5,0.6,202.5,1.3,180.0
135.672,34.8083,2012/08/14,19:50,0.0,27.6,0.6,180.0,1.4,225.0
135.672,34.8083,2012/08/14,20:00,0.0,27.4,0.5,157.5,1.8,112.5
135.672,34.8083,2012/08/14,20:10,0.0,27.4,1.2,135.0,1.9,135.0
135.672,34.8083,2012/08/14,20:20,0.0,27.4,0.8,157.5,1.6,135.0
135.672,34.8083,2012/08/14,20:30,0.0,27.1,0.6,157.5,1.5,135.0
135.672,34.8083,2012/08/14,20:40,0.0,27.0,0.4,157.5,1.6,135.0
135.672,34.8083,2012/08/14,20:50,0.0,27.1,0.5,135.0,1.3,135.0
135.672,34.8083,2012/08/14,21:00,0.0,27.1,0.4,135.0,1.2,112.5
135.672,34.8083,2012/08/14,21:10,0.0,27.1,0.6,157.5,1.1,157.5
135.672,34.8083,2012/08/14,21:20,0.0,27.2,0.7,157.5,1.6,135.0
135.672,34.8083,2012/08/14,21:30,0.0,27.2,1.2,157.5,2.0,135.0
135.672,34.8083,2012/08/14,21:40,0.0,27.0,1.4,135.0,2.9,135.0
135.672,34.8083,2012/08/14,21:50,0.0,26.7,1.3,135.0,2.7,135.0
135.672,34.8083,2012/08/14,22:00,0.0,26.7,0.8,135.0,1.6,157.5
135.672,34.8083,2012/08/14,22:10,0.0,26.6,1.2,135.0,2.2,112.5
135.672,34.8083,2012/08/14,22:20,0.0,26.6,1.1,135.0,1.8,135.0
135.672,34.8083,2012/08/14,22:30,0.0,26.6,0.7,135.0,1.7,135.0
135.672,34.8083,2012/08/14,22:40,0.0,26.5,0.4,135.0,0.8,135.0
135.672,34.8083,2012/08/14,22:50,0.0,26.2,0.4,157.5,1.0,135.0
135.672,34.8083,2012/08/14,23:00,0.0,26.2,0.3,157.5,0.7,135.0
135.672,34.8083,2012/08/14,23:10,0.0,26.3,0.4,112.5,0.9,135.0
135.672,34.8083,2012/08/14,23:20,0.0,26.4,0.1,-999.,0.6,112.5
135.672,34.8083,2012/08/14,23:30,0.0,26.3,0.0,-999.,0.4,112.5
135.672,34.8083,2012/08/14,23:40,0.0,26.3,0.0,-999.,0.0,112.5
135.672,34.8083,2012/08/14,23:50,0.0,26.3,0.0,-999.,0.0,112.5
135.672,34.8083,2012/08/14,24:00,0.0,26.4,0.0,-999.,0.0,112.5
