135.787,34.045,2012/08/14,00:10,0.0,23.3,0.2,-999.,1.2,157.5
135.787,34.045,2012/08/14,00:20,2.5,23.3,0.1,-999.,1.0,225.0
135.787,34.045,2012/08/14,00:30,3.5,23.3,0.1,-999.,0.9,0.0
135.787,34.045,2012/08/14,00:40,1.0,23.2,0.0,-999.,1.0,337.5
135.787,34.045,2012/08/14,00:50,2.5,23.2,0.1,-999.,1.2,337.5
135.787,34.045,2012/08/14,01:00,0.5,23.3,0.1,-999.,1.2,225.0
135.787,34.045,2012/08/14,01:10,3.0,23.2,0.2,-999.,1.2,22.5
135.787,34.045,2012/08/14,01:20,3.5,23.2,0.1,-999.,1.7,22.5
135.787,34.045,2012/08/14,01:30,0.5,23.2,0.0,-999.,0.0,202.5
135.787,34.045,2012/08/14,01:40,0.5,23.2,0.0,-999.,0.9,157.5
135.787,34.045,2012/08/14,01:50,1.5,23.1,0.1,-999.,0.6,337.5
135.787,34.045,2012/08/14,02:00,0.5,23.1,0.1,-999.,0.8,157.5
135.787,34.045,2012/08/14,02:10,1.0,23.2,0.1,-999.,0.7,180.0
135.787,34.045,2012/08/14,02:20,0.5,23.1,0.2,-999.,1.0,337.5
135.787,34.045,2012/08/14,02:30,0.5,23.1,0.0,-999.,0.1,45.0
135.787,34.045,2012/08/14,02:40,0.0,23.0,0.0,-999.,0.2,225.0
135.787,34.045,2012/08/14,02:50,0.0,23.1,0.1,-999.,0.8,337.5
135.787,34.045,2012/08/14,03:00,0.0,23.1,0.1,-999.,0.7,225.0
135.787,34.045,2012/08/14,03:10,0.0,23.0,0.0,-999.,0.0,0.0
135.787,34.045,2012/08/14,03:20,0.5,23.1,0.0,-999.,0.0,22.5
135.787,34.045,2012/08/14,03:30,0.0,23.1,0.0,-999.,0.7,22.5
135.787,34.045,2012/08/14,03:40,0.0,23.0,0.2,-999.,0.8,0.0
135.787,34.045,2012/08/14,03:50,0.5,23.0,0.1,-999.,0.8,337.5
135.787,34.045,2012/08/14,04:00,0.0,23.1,0.0,-999.,0.5,135.0
135.787,34.045,2012/08/14,04:10,1.0,22.9,0.0,-999.,0.0,0.0
135.787,34.045,2012/08/14,04:20,1.5,23.0,0.1,-999.,0.7,0.0
135.787,34.045,2012/08/14,04:30,1.0,23.0,0.1,-999.,0.6,45.0
135.787,34.045,2012/08/14,04:40,1.0,23.0,0.0,-999.,0.0,112.5
135.787,34.045,2012/08/14,04:50,0.0,23.0,0.1,-999.,0.7,337.5
135.787,34.045,2012/08/14,05:00,1.5,23.0,0.2,-999.,1.0,22.5
135.787,34.045,2012/08/14,05:10,1.5,23.0,0.2,-999.,1.1,22.5
135.787,34.045,2012/08/14,05:20,2.0,23.0,0.1,-999.,1.1,337.5,0
135.787,34.045,2012/08/14,05:30,0.5,23.0,0.0,-999.,0.6,315.0,0
135.787,34.045,2012/08/14,05:40,2.5,23.0,0.2,-999.,1.0,337.5,0
135.787,34.045,2012/08/14,05:50,2.0,22.9,0.2,-999.,1.2,22.5,0
135.787,34.045,2012/08/14,06:00,0.0,23.0,0.5,202.5,1.5,225.0,0
135.787,34.045,2012/08/14,06:10,1.0,23.1,0.1,-999.,1.1,180.0,0
135.787,34.045,2012/08/14,06:20,1.0,23.1,0.0,-999.,0.4,22.5,0
135.787,34.045,2012/08/14,06:30,0.5,22.9,0.2,-999.,0.9,337.5,0
135.787,34.045,2012/08/14,06:40,1.0,23.2,0.2,-999.,1.6,225.0,0
135.787,34.045,2012/08/14,06:50,3.0,23.1,0.2,-999.,1.4,157.5,0
135.787,34.045,2012/08/14,07:00,2.0,23.1,0.0,-999.,0.6,337.5,0
135.787,34.045,2012/08/14,07:10,1.0,23.0,0.3,67.5,1.6,45.0,0
135.787,34.045,2012/08/14,07:20,0.0,23.0,0.7,45.0,1.7,22.5,0
135.787,34.045,2012/08/14,07:30,0.5,23.1,0.2,-999.,0.9,337.5,0
135.787,34.045,2012/08/14,07:40,0.0,23.1,0.0,-999.,0.4,22.5,0
135.787,34.045,2012/08/14,07:50,0.0,23.1,0.0,-999.,0.7,0.0,0
135.787,34.045,2012/08/14,08:00,0.0,23.1,0.1,-999.,0.6,337.5,0
135.787,34.045,2012/08/14,08:10,0.0,23.2,0.0,-999.,0.4,45.0,0
135.787,34.045,2012/08/14,08:20,0.5,23.1,0.0,-999.,0.0,0.0,0
135.787,34.045,2012/08/14,08:30,0.0,23.4,0.0,-999.,0.0,0.0,0
135.787,34.045,2012/08/14,08:40,0.0,23.2,0.0,-999.,0.5,0.0,0
135.787,34.045,2012/08/14,08:50,0.0,23.3,0.1,-999.,0.6,22.5,0
135.787,34.045,2012/08/14,09:00,1.0,23.3,0.2,-999.,0.9,22.5,0
135.787,34.045,2012/08/14,09:10,0.0,23.4,0.0,-999.,0.3,135.0,0
135.787,34.045,2012/08/14,09:20,0.0,23.4,0.0,-999.,0.0,337.5,0
135.787,34.045,2012/08/14,09:30,0.0,23.7,0.2,-999.,0.8,22.5,0
135.787,34.045,2012/08/14,09:40,0.0,23.7,0.0,-999.,0.7,22.5,0
135.787,34.045,2012/08/14,09:50,0.0,23.8,0.1,-999.,0.6,0.0,0
135.787,34.045,2012/08/14,10:00,0.0,23.8,0.0,-999.,0.5,135.0,0
