135,34.28,2012/07/01,00:10,0.0,22.6,5.0,157.5,7.1,157.5
135,34.28,2012/07/01,00:20,0.0,22.7,5.3,157.5,7.4,135.0
135,34.28,2012/07/01,00:30,-999.,-999.,-999.,-999.,-999.,-999.,-999.
135,34.28,2012/07/01,00:40,0.0,22.6,4.2,157.5,6.0,157.5
135,34.28,2012/07/01,00:50,-999.,-999.,-999.,-999.,-999.,-999.,-999.
135,34.28,2012/07/01,01:00,0.0,22.8,3.3,157.5,5.6,157.5
135,34.28,2012/07/01,01:10,0.0,22.8,3.5,157.5,5.7,135.0
135,34.28,2012/07/01,01:20,0.0,22.8,3.3,157.5,5.4,157.5
135,34.28,2012/07/01,01:30,0.0,22.5,3.1,157.5,5.3,157.5
135,34.28,2012/07/01,01:40,0.0,22.7,3.9,157.5,6.9,157.5
135,34.28,2012/07/01,01:50,0.0,22.8,4.7,157.5,7.0,157.5
135,34.28,2012/07/01,02:00,0.0,22.7,4.9,157.5,6.6,157.5
135,34.28,2012/07/01,02:10,0.0,22.7,5.4,157.5,7.3,157.5
135,34.28,2012/07/01,02:20,0.0,22.8,6.1,157.5,8.3,157.5
135,34.28,2012/07/01,02:30,0.0,22.8,5.9,135.0,8.1,157.5
135,34.28,2012/07/01,02:40,0.0,22.8,4.7,135.0,7.7,135.0
135,34.28,2012/07/01,02:50,0.0,22.7,4.6,135.0,6.9,157.5
135,34.28,2012/07/01,03:00,0.0,22.7,4.1,157.5,6.2,157.5
135,34.28,2012/07/01,03:10,0.0,22.8,4.5,157.5,6.3,157.5
135,34.28,2012/07/01,03:20,0.0,22.9,4.9,157.5,7.0,157.5
135,34.28,2012/07/01,03:30,-999.,-999.,-999.,-999.,-999.,-999.,-999.
135,34.28,2012/07/01,03:40,0.0,23.1,8.5,157.5,9.9,180.0
135,34.28,2012/07/01,03:50,0.0,23.1,8.5,157.5,9.9,157.5
135,34.28,2012/07/01,04:00,0.0,23.2,8.4,157.5,9.5,157.5
135,34.28,2012/07/01,04:10,0.0,23.2,8.9,157.5,10.1,157.5
135,34.28,2012/07/01,04:20,0.0,23.2,9.0,157.5,10.3,157.5
135,34.28,2012/07/01,04:30,-999.,-999.,-999.,-999.,-999.,-999.,-999.
135,34.28,2012/07/01,04:40,0.5,23.3,8.5,157.5,10.1,157.5
135,34.28,2012/07/01,04:50,0.0,23.2,8.7,157.5,10.3,157.5
135,34.28,2012/07/01,05:00,0.0,23.3,8.8,157.5,10.4,157.5,0
135,34.28,2012/07/01,05:10,0.0,23.3,7.9,157.5,9.2,157.5,0
135,34.28,2012/07/01,05:20,0.0,23.3,8.0,157.5,9.7,157.5,0
135,34.28,2012/07/01,05:30,0.0,23.2,8.2,180.0,9.0,180.0,0
135,34.28,2012/07/01,05:40,1.5,23.2,8.0,157.5,9.0,180.0,0
