135,34.28,2012/08/14,00:10,0.0,26.3,5.9,180.0,7.0,180.0
135,34.28,2012/08/14,00:20,0.0,26.2,6.4,180.0,7.1,180.0
135,34.28,2012/08/14,00:30,0.0,26.4,6.2,180.0,7.4,180.0
135,34.28,2012/08/14,00:40,0.0,26.4,6.3,180.0,7.5,180.0
135,34.28,2012/08/14,00:50,0.0,26.4,5.9,180.0,7.1,180.0
135,34.28,2012/08/14,01:00,0.0,26.4,6.3,180.0,7.0,180.0
135,34.28,2012/08/14,01:10,0.0,26.5,6.0,180.0,6.9,180.0
135,34.28,2012/08/14,01:20,0.0,26.5,6.3,180.0,7.3,180.0
135,34.28,2012/08/14,01:30,0.0,26.5,6.5,180.0,7.3,180.0
135,34.28,2012/08/14,01:40,0.0,26.6,6.5,180.0,7.4,180.0
135,34.28,2012/08/14,01:50,0.0,26.7,6.1,180.0,7.3,180.0
135,34.28,2012/08/14,02:00,0.0,26.7,6.3,180.0,7.4,157.5
135,34.28,2012/08/14,02:10,0.0,26.7,5.7,180.0,6.8,180.0
135,34.28,2012/08/14,02:20,0.0,26.7,5.5,180.0,6.2,180.0
135,34.28,2012/08/14,02:30,0.0,26.4,5.1,180.0,5.9,180.0
135,34.28,2012/08/14,02:40,0.0,26.4,5.0,157.5,5.6,180.0
135,34.28,2012/08/14,02:50,0.0,26.4,5.5,180.0,6.4,157.5
135,34.28,2012/08/14,03:00,0.0,26.4,6.1,180.0,8.2,180.0
135,34.28,2012/08/14,03:10,0.0,26.4,5.8,180.0,7.0,180.0
135,34.28,2012/08/14,03:20,0.0,26.4,5.7,180.0,6.6,180.0
135,34.28,2012/08/14,03:30,0.0,26.4,6.5,180.0,7.3,180.0
135,34.28,2012/08/14,03:40,0.0,26.4,6.5,180.0,7.6,180.0
135,34.28,2012/08/14,03:50,0.0,26.5,6.7,180.0,7.8,180.0
135,34.28,2012/08/14,04:00,0.0,26.6,7.0,180.0,8.6,180.0
135,34.28,2012/08/14,04:10,0.0,26.5,7.1,180.0,9.7,180.0
135,34.28,2012/08/14,04:20,0.0,26.8,9.2,180.0,10.8,180.0
135,34.28,2012/08/14,04:30,0.0,26.6,8.6,180.0,9.8,180.0
135,34.28,2012/08/14,04:40,0.0,26.8,10.1,180.0,11.6,180.0
135,34.28,2012/08/14,04:50,0.0,26.5,10.0,180.0,12.0,180.0
135,34.28,2012/08/14,05:00,0.0,26.2,11.2,180.0,14.3,180.0
135,34.28,2012/08/14,05:10,0.0,26.2,11.7,180.0,13.7,180.0
135,34.28,2012/08/14,05:20,0.0,26.1,10.9,202.5,12.9,202.5
135,34.28,2012/08/14,05:30,0.5,25.9,9.9,202.5,11.6,202.5,0
135,34.28,2012/08/14,05:40,0.0,25.9,8.7,202.5,10.4,202.5,0
135,34.28,2012/08/14,05:50,0.5,25.6,8.8,225.0,10.5,225.0,0
135,34.28,2012/08/14,06:00,0.5,25.5,4.1,225.0,8.3,225.0,0
135,34.28,2012/08/14,06:10,0.5,25.3,1.9,292.5,4.0,315.0,0
135,34.28,2012/08/14,06:20,0.5,25.3,1.6,315.0,3.7,315.0,0
135,34.28,2012/08/14,06:30,0.5,25.3,0.5,247.5,1.7,292.5,0
135,34.28,2012/08/14,06:40,0.5,25.2,1.1,157.5,2.4,157.5,0
135,34.28,2012/08/14,06:50,0.5,25.3,2.4,157.5,4.7,157.5,0
135,34.28,2012/08/14,07:00,0.5,25.5,3.6,180.0,5.5,180.0,0
135,34.28,2012/08/14,07:10,1.0,25.4,4.0,180.0,5.3,180.0,0
135,34.28,2012/08/14,07:20,0.0,25.1,4.7,180.0,6.1,180.0,0
135,34.28,2012/08/14,07:30,0.5,24.8,4.6,180.0,5.9,180.0,0
135,34.28,2012/08/14,07:40,0.0,24.8,4.2,180.0,5.2,180.0,0
135,34.28,2012/08/14,07:50,0.0,24.9,4.2,180.0,5.6,180.0,0
135,34.28,2012/08/14,08:00,0.0,25.3,4.6,180.0,6.5,157.5,0
135,34.28,2012/08/14,08:10,0.0,25.4,4.8,157.5,6.7,180.0,0
135,34.28,2012/08/14,08:20,0.0,25.3,4.8,157.5,6.5,157.5,0
135,34.28,2012/08/14,08:30,0.0,25.3,4.7,157.5,6.1,180.0,0
135,34.28,2012/08/14,08:40,0.0,25.2,4.1,157.5,6.1,157.5,0
135,34.28,2012/08/14,08:50,0.0,25.2,3.9,157.5,5.4,180.0,0
135,34.28,2012/08/14,09:00,0.0,25.3,2.8,157.5,5.1,157.5,0
135,34.28,2012/08/14,09:10,0.0,25.4,2.1,157.5,4.0,180.0,0
135,34.28,2012/08/14,09:20,0.0,25.5,2.4,157.5,4.0,157.5,0
135,34.28,2012/08/14,09:30,0.0,25.5,1.9,157.5,3.9,135.0,0
135,34.28,2012/08/14,09:40,0.0,25.6,1.1,135.0,2.5,112.5,0
135,34.28,2012/08/14,09:50,0.0,25.7,0.4,135.0,1.7,112.5,0
135,34.28,2012/08/14,10:00,0.5,26.0,0.8,135.0,2.1,157.5,0
135,34.28,2012/08/14,10:10,0.0,25.8,1.1,135.0,2.8,135.0,0
135,34.28,2012/08/14,10:20,0.0,26.2,1.4,135.0,2.8,135.0,0
