134.17,35.1117,2012/07/01,00:10,0.0,22.4,1.0,112.5,2.5,90.0
134.17,35.1117,2012/07/01,00:20,0.0,22.4,1.3,112.5,2.7,135.0
134.17,35.1117,2012/07/01,00:30,0.0,22.4,0.9,135.0,2.2,135.0
134.17,35.1117,2012/07/01,00:40,0.0,22.6,1.1,157.5,2.9,180.0
134.17,35.1117,2012/07/01,00:50,0.5,22.4,0.4,180.0,1.6,135.0
134.17,35.1117,2012/07/01,01:00,0.0,22.5,0.5,157.5,1.6,135.0
134.17,35.1117,2012/07/01,01:10,0.5,22.3,0.6,135.0,1.8,45.0
134.17,35.1117,2012/07/01,01:20,0.5,22.4,0.3,90.0,1.1,90.0
134.17,35.1117,2012/07/01,01:30,0.5,22.5,0.5,180.0,2.0,225.0
134.17,35.1117,2012/07/01,01:40,0.5,22.4,0.5,135.0,2.2,135.0
134.17,35.1117,2012/07/01,01:50,0.0,22.3,0.7,67.5,1.6,90.0
134.17,35.1117,2012/07/01,02:00,2.0,22.3,1.4,45.0,2.6,67.5
134.17,35.1117,2012/07/01,02:10,0.0,22.3,0.8,67.5,1.7,67.5
134.17,35.1117,2012/07/01,02:20,0.0,22.3,0.9,90.0,2.2,90.0
134.17,35.1117,2012/07/01,02:30,0.0,22.4,1.2,67.5,2.4,112.5
134.17,35.1117,2012/07/01,02:40,0.0,22.4,1.6,67.5,3.6,90.0
134.17,35.1117,2012/07/01,02:50,0.0,22.5,1.2,112.5,3.2,135.0
134.17,35.1117,2012/07/01,03:00,0.0,22.4,1.1,112.5,3.1,90.0
134.17,35.1117,2012/07/01,03:10,0.0,22.4,0.7,90.0,1.7,45.0
134.17,35.1117,2012/07/01,03:20,0.5,22.4,1.5,90.0,2.7,90.0
134.17,35.1117,2012/07/01,03:30,0.5,22.3,0.8,90.0,2.3,67.5
134.17,35.1117,2012/07/01,03:40,0.0,22.3,0.6,112.5,2.1,135.0
134.17,35.1117,2012/07/01,03:50,0.0,22.4,0.4,112.5,1.8,90.0
134.17,35.1117,2012/07/01,04:00,0.0,22.4,0.4,90.0,1.2,90.0
134.17,35.1117,2012/07/01,04:10,0.0,22.4,0.8,67.5,1.5,67.5
134.17,35.1117,2012/07/01,04:20,0.5,22.5,0.8,67.5,1.5,67.5
134.17,35.1117,2012/07/01,04:30,1.5,22.5,0.7,90.0,2.2,90.0
134.17,35.1117,2012/07/01,04:40,0.0,22.4,0.4,90.0,1.6,67.5
134.17,35.1117,2012/07/01,04:50,0.0,22.5,0.1,-999.,0.6,292.5
134.17,35.1117,2012/07/01,05:00,0.0,22.5,0.8,337.5,1.6,315.0,0
134.17,35.1117,2012/07/01,05:10,0.0,22.5,0.3,0.0,1.2,0.0,0
134.17,35.1117,2012/07/01,05:20,0.5,22.5,0.6,112.5,1.8,135.0,0
134.17,35.1117,2012/07/01,05:30,0.0,22.5,0.4,112.5,1.7,135.0,0
134.17,35.1117,2012/07/01,05:40,0.0,22.5,0.2,-999.,0.9,90.0,0
134.17,35.1117,2012/07/01,05:50,0.0,22.5,0.5,45.0,1.2,45.0,0
134.17,35.1117,2012/07/01,06:00,0.5,22.6,0.5,22.5,1.3,90.0,0
134.17,35.1117,2012/07/01,06:10,0.5,22.5,0.1,-999.,0.9,315.0,0
134.17,35.1117,2012/07/01,06:20,0.0,22.5,0.4,315.0,0.8,315.0,0
134.17,35.1117,2012/07/01,06:30,0.0,22.5,0.6,337.5,1.6,337.5,0
134.17,35.1117,2012/07/01,06:40,0.0,22.6,1.6,0.0,2.2,0.0,0
134.17,35.1117,2012/07/01,06:50,0.5,22.7,1.1,0.0,2.8,315.0,0
134.17,35.1117,2012/07/01,07:00,0.0,22.7,1.0,315.0,2.2,45.0,0
134.17,35.1117,2012/07/01,07:10,0.0,22.7,1.2,292.5,2.6,292.5,0
134.17,35.1117,2012/07/01,07:20,0.0,22.8,0.7,90.0,2.2,112.5,0
134.17,35.1117,2012/07/01,07:30,0.0,22.9,0.8,157.5,1.9,112.5,0
134.17,35.1117,2012/07/01,07:40,0.0,22.9,0.8,180.0,1.6,112.5,0
134.17,35.1117,2012/07/01,07:50,0.0,23.1,0.5,112.5,1.7,135.0,0
134.17,35.1117,2012/07/01,08:00,0.0,23.0,0.3,202.5,1.1,180.0,0
134.17,35.1117,2012/07/01,08:10,0.0,23.1,0.8,112.5,3.1,90.0,0
134.17,35.1117,2012/07/01,08:20,0.0,23.1,2.0,135.0,4.5,90.0,0
134.17,35.1117,2012/07/01,08:30,0.0,23.0,2.1,270.0,3.9,270.0,0
134.17,35.1117,2012/07/01,08:40,0.0,23.2,0.8,157.5,2.8,112.5,0
134.17,35.1117,2012/07/01,08:50,0.0,23.1,0.5,112.5,1.7,90.0,0
134.17,35.1117,2012/07/01,09:00,0.0,23.1,0.3,292.5,1.1,270.0,0
134.17,35.1117,2012/07/01,09:10,0.5,23.1,0.8,0.0,1.3,22.5,0
134.17,35.1117,2012/07/01,09:20,0.0,23.1,1.3,22.5,2.3,0.0,0
