133.725,35.2967,2012/07/01,00:10,0.0,21.7,1.6,225.0,3.6,225.0
133.725,35.2967,2012/07/01,00:20,0.0,21.7,1.6,225.0,3.9,225.0
133.725,35.2967,2012/07/01,00:30,0.0,21.7,1.7,225.0,4.7,202.5
133.725,35.2967,2012/07/01,00:40,0.5,21.7,1.8,225.0,4.9,225.0
133.725,35.2967,2012/07/01,00:50,0.0,22.0,1.3,247.5,4.6,157.5
133.725,35.2967,2012/07/01,01:00,0.0,21.8,1.9,157.5,8.7,112.5
133.725,35.2967,2012/07/01,01:10,0.0,21.9,1.3,225.0,3.4,180.0
133.725,35.2967,2012/07/01,01:20,0.0,22.0,1.8,180.0,5.3,202.5
133.725,35.2967,2012/07/01,01:30,0.0,22.0,2.6,180.0,8.4,157.5
133.725,35.2967,2012/07/01,01:40,0.0,22.1,2.2,225.0,5.4,135.0
133.725,35.2967,2012/07/01,01:50,0.0,22.2,2.4,225.0,7.4,225.0
133.725,35.2967,2012/07/01,02:00,0.0,22.3,2.5,225.0,8.6,247.5
133.725,35.2967,2012/07/01,02:10,0.0,22.6,2.2,202.5,6.8,202.5
133.725,35.2967,2012/07/01,02:20,0.0,22.4,2.0,202.5,10.6,225.0
133.725,35.2967,2012/07/01,02:30,0.0,22.6,2.5,225.0,7.2,180.0
133.725,35.2967,2012/07/01,02:40,0.0,22.4,2.4,225.0,6.3,247.5
133.725,35.2967,2012/07/01,02:50,0.0,22.4,1.7,202.5,5.8,225.0
133.725,35.2967,2012/07/01,03:00,0.5,22.7,1.1,180.0,3.3,225.0
133.725,35.2967,2012/07/01,03:10,0.0,22.3,2.2,202.5,6.2,202.5
133.725,35.2967,2012/07/01,03:20,0.0,22.4,2.0,157.5,6.5,135.0
133.725,35.2967,2012/07/01,03:30,0.0,22.7,2.8,157.5,7.8,202.5
133.725,35.2967,2012/07/01,03:40,0.0,22.6,1.8,157.5,6.2,157.5
133.725,35.2967,2012/07/01,03:50,0.0,22.4,2.6,225.0,9.0,225.0
133.725,35.2967,2012/07/01,04:00,0.0,22.1,2.0,180.0,8.8,112.5
133.725,35.2967,2012/07/01,04:10,0.0,22.1,1.3,202.5,4.3,225.0
133.725,35.2967,2012/07/01,04:20,0.0,22.0,1.3,202.5,3.6,202.5
133.725,35.2967,2012/07/01,04:30,0.0,22.0,1.0,202.5,3.5,225.0
133.725,35.2967,2012/07/01,04:40,0.5,22.2,1.3,337.5,4.4,292.5
133.725,35.2967,2012/07/01,04:50,0.5,21.8,1.7,180.0,5.0,67.5
133.725,35.2967,2012/07/01,05:00,0.0,22.3,1.4,315.0,5.3,112.5,0
133.725,35.2967,2012/07/01,05:10,0.0,22.2,1.7,135.0,7.2,135.0,0
133.725,35.2967,2012/07/01,05:20,0.0,22.2,2.1,202.5,5.5,247.5,0
133.725,35.2967,2012/07/01,05:30,0.0,21.8,1.2,180.0,4.1,202.5,0
133.725,35.2967,2012/07/01,05:40,0.5,22.0,1.8,202.5,5.2,180.0,0
133.725,35.2967,2012/07/01,05:50,0.0,22.1,2.2,180.0,7.8,112.5,0
133.725,35.2967,2012/07/01,06:00,0.0,21.9,2.0,180.0,5.3,112.5,0
133.725,35.2967,2012/07/01,06:10,0.0,21.9,1.6,180.0,5.8,135.0,0
133.725,35.2967,2012/07/01,06:20,0.0,21.9,2.3,202.5,7.8,202.5,0
133.725,35.2967,2012/07/01,06:30,0.0,21.9,2.1,202.5,6.3,225.0,0
133.725,35.2967,2012/07/01,06:40,0.0,21.8,1.8,180.0,5.5,225.0,0
133.725,35.2967,2012/07/01,06:50,0.0,22.1,2.1,157.5,9.6,112.5,0
133.725,35.2967,2012/07/01,07:00,0.5,22.0,1.9,157.5,7.2,135.0,0
133.725,35.2967,2012/07/01,07:10,0.0,21.9,2.6,157.5,7.3,135.0,0
133.725,35.2967,2012/07/01,07:20,0.0,22.0,2.6,157.5,7.7,112.5,0
133.725,35.2967,2012/07/01,07:30,0.0,22.0,2.8,157.5,7.4,112.5,0
133.725,35.2967,2012/07/01,07:40,0.0,22.0,2.2,157.5,6.2,157.5,0
133.725,35.2967,2012/07/01,07:50,0.0,22.0,2.8,180.0,7.6,112.5,0
133.725,35.2967,2012/07/01,08:00,0.0,22.0,2.7,180.0,6.7,202.5,0
133.725,35.2967,2012/07/01,08:10,0.0,22.1,3.0,157.5,7.8,135.0,0
133.725,35.2967,2012/07/01,08:20,0.0,22.0,2.8,180.0,7.4,157.5,0
133.725,35.2967,2012/07/01,08:30,0.0,22.0,2.3,180.0,6.0,157.5,0
133.725,35.2967,2012/07/01,08:40,0.0,22.0,2.1,157.5,5.4,135.0,0
133.725,35.2967,2012/07/01,08:50,0.5,22.2,1.9,157.5,5.3,135.0,0
133.725,35.2967,2012/07/01,09:00,0.0,22.4,1.5,112.5,4.8,112.5,0
133.725,35.2967,2012/07/01,09:10,0.0,22.4,1.7,135.0,7.9,90.0,0
133.725,35.2967,2012/07/01,09:20,0.0,22.3,1.5,157.5,4.7,202.5,0
133.725,35.2967,2012/07/01,09:30,0.5,22.1,2.4,157.5,6.5,180.0,0
133.725,35.2967,2012/07/01,09:40,0.5,22.1,1.8,180.0,6.1,180.0,0
133.725,35.2967,2012/07/01,09:50,0.0,22.1,1.3,225.0,4.0,135.0,0
133.725,35.2967,2012/07/01,10:00,0.5,22.1,1.0,180.0,2.8,202.5,0
133.725,35.2967,2012/07/01,10:10,0.0,22.2,0.8,157.5,2.7,90.0,0
133.725,35.2967,2012/07/01,10:20,0.0,22.4,0.9,202.5,2.7,202.5,0
133.725,35.2967,2012/07/01,10:30,0.5,22.5,0.7,180.0,2.9,225.0,0
133.725,35.2967,2012/07/01,10:40,0.0,22.9,1.1,157.5,3.2,202.5,0
133.725,35.2967,2012/07/01,10:50,0.0,23.3,1.3,225.0,3.7,292.5,0
133.725,35.2967,2012/07/01,11:00,0.0,23.6,2.0,247.5,5.7,270.0,0
133.725,35.2967,2012/07/01,11:10,0.0,23.4,1.9,247.5,5.2,247.5,0
133.725,35.2967,2012/07/01,11:20,0.0,23.4,2.5,270.0,6.4,292.5,0
133.725,35.2967,2012/07/01,11:30,0.0,24.0,2.2,247.5,5.3,270.0,1
133.725,35.2967,2012/07/01,11:40,0.0,23.9,2.7,270.0,7.6,270.0,0
133.725,35.2967,2012/07/01,11:50,0.0,23.5,3.4,270.0,7.0,270.0,0
133.725,35.2967,2012/07/01,12:00,0.0,22.8,3.2,270.0,6.5,292.5,0
133.725,35.2967,2012/07/01,12:10,0.0,23.1,2.5,270.0,6.3,292.5,0
133.725,35.2967,2012/07/01,12:20,0.0,23.1,2.6,247.5,6.9,315.0,0
133.725,35.2967,2012/07/01,12:30,0.0,22.6,2.0,225.0,4.1,247.5,0
133.725,35.2967,2012/07/01,12:40,0.0,22.8,2.5,247.5,5.7,270.0,0
133.725,35.2967,2012/07/01,12:50,0.0,22.9,3.0,247.5,6.4,225.0,0
133.725,35.2967,2012/07/01,13:00,0.0,23.2,2.5,225.0,5.5,247.5,1
133.725,35.2967,2012/07/01,13:10,0.0,23.7,2.5,247.5,5.9,247.5,6
133.725,35.2967,2012/07/01,13:20,0.0,23.1,1.8,225.0,4.8,247.5,0
133.725,35.2967,2012/07/01,13:30,0.0,22.6,2.1,225.0,5.5,225.0,0
133.725,35.2967,2012/07/01,13:40,0.0,22.5,2.0,247.5,4.8,270.0,0
133.725,35.2967,2012/07/01,13:50,0.0,23.1,1.8,225.0,4.6,270.0,1
133.725,35.2967,2012/07/01,14:00,0.0,23.0,1.8,225.0,3.9,225.0,1
133.725,35.2967,2012/07/01,14:10,0.0,24.1,2.3,270.0,4.8,292.5,2
133.725,35.2967,2012/07/01,14:20,0.0,24.8,2.0,247.5,5.9,270.0,5
133.725,35.2967,2012/07/01,14:30,0.0,24.8,1.2,225.0,3.1,270.0,4
133.725,35.2967,2012/07/01,14:40,0.0,24.9,1.5,247.5,4.2,247.5,9
133.725,35.2967,2012/07/01,14:50,0.0,23.9,2.0,225.0,4.8,225.0,1
133.725,35.2967,2012/07/01,15:00,0.0,23.8,1.9,225.0,5.3,247.5,2
133.725,35.2967,2012/07/01,15:10,0.0,24.5,1.8,247.5,6.0,270.0,4
133.725,35.2967,2012/07/01,15:20,0.0,25.2,2.5,247.5,5.8,270.0,8
133.725,35.2967,2012/07/01,15:30,0.0,24.2,2.5,247.5,5.7,225.0,2
133.725,35.2967,2012/07/01,15:40,0.0,23.4,1.9,247.5,5.0,315.0,0
133.725,35.2967,2012/07/01,15:50,0.0,23.1,1.6,225.0,3.8,247.5,0
133.725,35.2967,2012/07/01,16:00,0.0,23.3,1.9,270.0,6.1,247.5,0
133.725,35.2967,2012/07/01,16:10,0.0,23.3,1.8,247.5,4.7,247.5,0
133.725,35.2967,2012/07/01,16:20,0.0,23.2,2.4,247.5,6.2,292.5,0
133.725,35.2967,2012/07/01,16:30,0.0,23.4,2.5,270.0,6.3,270.0,0
133.725,35.2967,2012/07/01,16:40,0.0,23.3,2.5,270.0,5.7,292.5,1
133.725,35.2967,2012/07/01,16:50,0.0,23.9,2.9,247.5,7.4,247.5,9
133.725,35.2967,2012/07/01,17:00,0.0,24.0,2.7,247.5,6.3,225.0,9
133.725,35.2967,2012/07/01,17:10,0.0,23.6,2.5,247.5,6.8,292.5,8
133.725,35.2967,2012/07/01,17:20,0.0,23.0,3.1,270.0,7.7,270.0,1
133.725,35.2967,2012/07/01,17:30,0.0,23.8,2.0,247.5,4.4,315.0,10
133.725,35.2967,2012/07/01,17:40,0.0,23.6,2.2,247.5,5.3,270.0,8
133.725,35.2967,2012/07/01,17:50,0.0,23.2,3.0,270.0,6.2,270.0,1
133.725,35.2967,2012/07/01,18:00,0.0,22.7,2.4,270.0,5.0,270.0,4
133.725,35.2967,2012/07/01,18:10,0.0,22.6,1.4,292.5,3.4,292.5,5
133.725,35.2967,2012/07/01,18:20,0.0,22.6,1.7,315.0,3.6,315.0,0
133.725,35.2967,2012/07/01,18:30,0.0,22.5,1.4,292.5,3.0,270.0,10
133.725,35.2967,2012/07/01,18:40,0.0,21.9,1.2,270.0,2.5,292.5,3
133.725,35.2967,2012/07/01,18:50,0.0,21.5,1.1,225.0,2.0,247.5,0
133.725,35.2967,2012/07/01,19:00,0.0,21.2,0.7,270.0,2.0,292.5,0
133.725,35.2967,2012/07/01,19:10,0.0,20.6,0.6,292.5,1.2,247.5,0
133.725,35.2967,2012/07/01,19:20,0.0,20.4,0.5,247.5,1.3,225.0,0
133.725,35.2967,2012/07/01,19:30,0.0,20.4,0.7,112.5,1.3,112.5,0
133.725,35.2967,2012/07/01,19:40,0.0,20.0,0.6,90.0,1.4,112.5
133.725,35.2967,2012/07/01,19:50,0.0,19.7,0.6,0.0,1.2,0.0
133.725,35.2967,2012/07/01,20:00,0.0,19.6,0.3,202.5,1.4,270.0
133.725,35.2967,2012/07/01,20:10,0.0,19.4,0.5,135.0,1.4,112.5
133.725,35.2967,2012/07/01,20:20,0.0,19.2,0.7,135.0,1.4,112.5
133.725,35.2967,2012/07/01,20:30,0.0,19.1,0.3,135.0,0.9,135.0
133.725,35.2967,2012/07/01,20:40,0.0,18.8,0.6,112.5,1.1,112.5
133.725,35.2967,2012/07/01,20:50,0.0,18.9,0.7,22.5,1.0,337.5
133.725,35.2967,2012/07/01,21:00,0.0,18.8,0.5,247.5,1.3,292.5
133.725,35.2967,2012/07/01,21:10,0.0,18.2,0.7,0.0,1.3,315.0
133.725,35.2967,2012/07/01,21:20,0.0,18.8,0.1,-999.,0.7,180.0
133.725,35.2967,2012/07/01,21:30,0.0,18.0,0.4,22.5,1.1,22.5
133.725,35.2967,2012/07/01,21:40,0.0,18.3,0.4,22.5,1.0,22.5
133.725,35.2967,2012/07/01,21:50,0.0,18.3,0.9,22.5,1.3,337.5
133.725,35.2967,2012/07/01,22:00,0.0,18.2,0.6,22.5,1.2,0.0
133.725,35.2967,2012/07/01,22:10,0.0,18.4,0.5,337.5,1.3,22.5
133.725,35.2967,2012/07/01,22:20,0.0,18.1,0.4,22.5,1.1,22.5
133.725,35.2967,2012/07/01,22:30,0.0,18.1,0.5,45.0,1.0,45.0
133.725,35.2967,2012/07/01,22:40,0.0,17.7,0.3,45.0,0.7,45.0
133.725,35.2967,2012/07/01,22:50,0.0,17.6,0.6,22.5,1.0,22.5
133.725,35.2967,2012/07/01,23:00,0.0,18.0,0.1,-999.,0.7,292.5
133.725,35.2967,2012/07/01,23:10,0.0,17.9,0.2,-999.,0.8,270.0
133.725,35.2967,2012/07/01,23:20,0.0,17.1,0.6,22.5,1.4,22.5
133.725,35.2967,2012/07/01,23:30,0.0,17.4,0.3,0.0,0.8,22.5
133.725,35.2967,2012/07/01,23:40,0.0,17.2,0.4,315.0,1.0,45.0
133.725,35.2967,2012/07/01,23:50,0.0,17.2,0.3,45.0,1.0,45.0
133.725,35.2967,2012/07/01,24:00,0.0,17.0,0.5,22.5,1.2,45.0
