観測所番号 府県番号 地点コード 観測所名 経度 緯度
11001 11 1284 宗谷岬 141.9350 45.5200
11016 11 47401 稚内 141.6783 45.4150
11046 11 1546 礼文 141.0450 45.3050
11061 11 1528 声問 141.8000 45.4033
11076 11 1285 浜鬼志別 142.1700 45.3350
11091 11 1512 本泊 141.1867 45.2417
11121 11 1203 沼川 141.8517 45.2483
11151 11 2 沓形 141.1383 45.1767
11176 11 1054 豊富 141.7650 45.1067
11206 11 3 浜頓別 142.3500 45.1250
11276 11 1051 中頓別 142.2800 44.9650
11291 11 47402 北見枝幸 142.5850 44.9400
11316 11 5 歌登 142.4800 44.8400
13011 11 1573 幌延 141.8517 45.0067
12011 12 1201 中川 142.0767 44.8283
12041 12 1197 音威子府 142.2650 44.7267
12066 12 1570 小車 142.2950 44.6083
12141 12 6 美深 142.3417 44.4800
12181 12 8 名寄 142.4567 44.3700
12217 12 9 西風連 142.3583 44.2950
12231 12 10 下川 142.6233 44.3017
12256 12 1572 剣淵 142.3533 44.1067
12261 12 11 士別 142.4167 44.1867
12266 12 1047 朝日 142.5950 44.1183
12301 12 1055 和寒 142.4100 44.0283
12386 12 1191 江丹別 142.2600 43.8700
12396 12 1048 比布 142.4800 43.8750
12411 12 15 上川 142.7533 43.8467
12442 12 47407 旭川 142.3717 43.7567
12451 12 1184 東川 142.5083 43.7017
12457 12 17 瑞穂 142.6383 43.7367
12471 12 1049 層雲峡 142.9300 43.7533
12501 12 1458 東神楽 142.4467 43.6700
12512 12 1185 志比内 142.5817 43.6433
12551 12 1052 美瑛 142.4933 43.5883
12596 12 1190 上富良野 142.4650 43.4550
12607 12 20 白金 142.6483 43.4750
12626 12 21 富良野 142.4000 43.3333
12632 12 1280 麓郷 142.5217 43.3017
12686 12 1574 金山 142.4167 43.1383
12691 12 1188 幾寅 142.5683 43.1683
12746 12 1189 占冠 142.3950 42.9783
15041 12 1279 朱鞠内 142.1617 44.2817
15076 12 1053 幌加内 142.1600 44.0100
13061 13 24 天塩 141.7617 44.8933
13086 13 25 遠別 141.8067 44.7183
13121 13 1216 初山別 141.7700 44.5233
13146 13 1213 焼尻 141.4217 44.4283
13181 13 47404 羽幌 141.7000 44.3633
13206 13 1112 古丹別 141.7217 44.2650
13261 13 1217 達布 141.8567 44.0483
13277 13 47406 留萌 141.6317 43.9450
13311 13 28 増毛 141.5100 43.8483
13321 13 1218 幌糠 141.7600 43.8533
14026 14 1193 浜益 141.3867 43.5817
14071 14 1194 厚田 141.4367 43.3983
14101 14 30 新篠津 141.6450 43.2200
14116 14 31 山口 141.2217 43.1467
14121 14 1085 石狩 141.3700 43.1933
14136 14 1507 江別 141.6017 43.1100
14157 14 32 手稲山 141.2017 43.0833
14163 14 47412 札幌 141.3283 43.0600
14191 14 34 小金湯 141.2183 42.9650
14206 14 35 恵庭島松 141.5650 42.9250
14286 14 37 支笏湖畔 141.4067 42.7717
14296 14 1459 千歳 141.6917 42.7750
15116 15 38 石狩沼田 141.9267 43.8150
15161 15 39 深川 142.0733 43.7183
15197 15 1567 雨竜 141.8917 43.6600
15216 15 1419 新城 142.2033 43.6117
15231 15 1287 空知吉野 141.7317 43.5950
15241 15 41 滝川 141.9383 43.5700
15247 15 1566 赤平 142.0667 43.5533
15251 15 43 芦別 142.1900 43.5167
15276 15 1400 浦臼 141.8100 43.4283
15311 15 999 月形 141.6183 43.3300
15321 15 44 美唄 141.8267 43.3633
15356 15 47413 岩見沢 141.7850 43.2117
15391 15 1068 栗沢 141.7450 43.1217
15431 15 47 長沼 141.6933 43.0117
15442 15 49 夕張 141.9567 43.0383
15451 15 1401 鹿島 142.1000 43.0800
15491 15 1402 沼の沢 142.0200 42.9600
16026 16 51 美国 140.5633 43.2717
16061 16 1208 神恵内 140.4233 43.1450
16076 16 52 余市 140.7583 43.1817
16091 16 47411 小樽 141.0167 43.1817
16126 16 1091 赤井川 140.8200 43.0833
16156 16 54 共和 140.6033 42.9800
16206 16 55 蘭越 140.5417 42.8100
16217 16 47433 倶知安 140.7567 42.9000
16252 16 47421 寿都 140.2233 42.7950
16272 16 1615 ニセコ 140.6667 42.7783
16281 16 1072 真狩 140.8800 42.7750
16286 16 60 喜茂別 140.9483 42.7933
16321 16 61 黒松内 140.3100 42.6633
17036 17 47405 雄武 142.9633 44.5800
17076 17 63 興部 143.1083 44.4700
17091 17 1073 西興部 142.9367 44.3317
17112 17 47435 紋別 143.3550 44.3450
17116 17 1487 紋別小向 143.4033 44.3033
17166 17 65 湧別 143.6200 44.2133
17196 17 66 滝上 143.0600 44.1767
17211 17 67 上藻別 143.3367 44.1883
17246 17 68 常呂 144.0367 44.1150
17306 17 69 遠軽 143.5400 44.0533
17316 17 70 佐呂間 143.7233 43.9850
17341 17 47409 網走 144.2783 44.0167
17351 17 981 宇登呂 144.9817 44.0517
17386 17 1420 丸瀬布 143.3283 43.9533
17482 17 1092 白滝 143.1533 43.8650
17501 17 72 生田原 143.5317 43.9167
17512 17 73 仁頃山 143.7467 43.8600
17521 17 74 北見 143.8750 43.8100
17531 17 1460 女満別 144.1633 43.8800
17541 17 1263 東藻琴 144.2850 43.8400
17546 17 75 小清水 144.4850 43.8417
17561 17 76 斜里 144.7000 43.8833
17596 17 77 留辺蘂 143.4500 43.7417
17607 17 1209 境野 143.6433 43.7067
17631 17 79 美幌 144.1717 43.7700
17642 17 1617 山園 144.3367 43.7433
17686 17 1569 置戸常元 143.4400 43.6200
17717 17 82 津別 144.0333 43.7017
17776 17 1568 津別二又 143.8650 43.5833
18038 18 84 羅臼 145.1867 44.0233
18091 18 1266 糸櫛別 144.9883 43.7217
18136 18 85 標津 145.1317 43.6617
18161 18 1547 上標津 144.7467 43.5200
18171 18 86 中標津 144.9783 43.5433
18174 18 1489 根室中標津 144.9600 43.5767
